change,changePercent,close,date,high,low,open,volume,volumeChange,vwap
-0.16,-0.827,19.190001,2020-12-14 00:00:00,20.43,18.620001,19.35,4554800.0,0.2910486092735848,19.41333
-0.95,-5.013,18.0,2020-12-15 00:00:00,19.35,17.280001,18.950001,6424700.0,0.01654726916482978,18.21
-0.52,-2.857,17.68,2020-12-16 00:00:00,19.74,17.1,18.200001,6532800.0,0.5311611884598822,18.17333
4.84,27.054,22.73,2020-12-17 00:00:00,22.799999,16.5,17.889999,13934000.0,0.029800863389500068,20.67667
-1.93,-8.446,20.92,2020-12-18 00:00:00,23.870001,20.059999,22.85,14362000.0,-0.8616407637367622,21.61667
-0.81,-3.938,19.76,2020-12-21 00:00:00,21.68,19.226,20.57,7714700.0,-0.18629290195596016,20.222
-0.23,-1.138,19.98,2020-12-22 00:00:00,21.6,19.440001,20.209999,6503200.0,-0.4336860670194004,20.34
-1.21,-5.823,19.57,2020-12-23 00:00:00,20.872,19.389999,20.780001,4536000.0,-0.3097334911789334,19.944
-0.88,-4.422,19.02,2020-12-24 00:00:00,19.940001,18.299999,19.9,3463300.0,0.3157291604923636,19.08667
-0.54,-2.707,19.41,2020-12-28 00:00:00,20.9,18.870001,19.950001,5061300.0,-0.1700263535068658,19.72667
0.69,3.462,20.620001,2020-12-29 00:00:00,21.059999,19.030001,19.93,4325800.0,-0.07826910613689615,20.23667
-1.18,-5.77,19.27,2020-12-30 00:00:00,21.32,19.02,20.450001,4011800.0,0.19901768957393284,19.87
0.6,3.093,20.0,2020-12-31 00:00:00,20.35,17.83,19.4,5008600.0,-0.28745855075444054,19.39333
-1.7,-8.543,18.200001,2021-01-04 00:00:00,20.01,18.059999,19.9,3890300.0,0.70904943534515,18.75667
2.55,13.057,22.08,2021-01-05 00:00:00,22.4,19.200001,19.530001,13371000.0,-0.06511279632933979,21.22667
-0.57,-2.498,22.25,2021-01-06 00:00:00,24.690001,21.75,22.82,12553600.0,-0.8095279279279279,22.89667
-0.81,-3.511,22.26,2021-01-07 00:00:00,23.57,21.459999,23.07,6937500.0,-0.4945710715670645,22.43
-0.43,-1.949,21.629999,2021-01-08 00:00:00,22.6,20.799999,22.059999,4641800.0,0.240841292686118,21.67667
1.3,5.869,23.450001,2021-01-11 00:00:00,23.98,21.82,22.15,6114400.0,0.07105634979717719,23.08333
-0.5,-2.0,24.5,2021-01-12 00:00:00,25.610001,23.77,25.0,6582100.0,0.00010633772862611655,24.62667
0.01,0.038,26.309999,2021-01-13 00:00:00,27.49,25.67,26.299999,6582800.0,-0.4596008869179601,26.49
-1.12,-4.112,26.120001,2021-01-14 00:00:00,27.4,25.27,27.24,4510000.0,0.12379546161019583,26.26333
-1.75,-6.606,24.74,2021-01-15 00:00:00,26.75,24.129999,26.49,5147200.0,0.25316308763784096,25.20667
0.92,3.573,26.67,2021-01-19 00:00:00,27.23,25.35,25.75,6892000.0,0.22183205934490272,26.41667
0.74,2.648,28.690001,2021-01-20 00:00:00,29.940001,27.559999,27.950001,8856700.0,-0.35027137455787294,28.73
0.49,1.707,29.200001,2021-01-21 00:00:00,29.74,27.610001,28.709999,6559200.0,-0.7043966323666978,28.85
-0.42,-1.477,28.01,2021-01-22 00:00:00,29.290001,27.82,28.43,3848400.0,0.3035074383755022,28.37333
-0.28,-0.969,28.620001,2021-01-25 00:00:00,30.370001,27.16,28.9,5525400.0,-0.5227360414484925,28.71667
0.98,3.409,29.73,2021-01-26 00:00:00,29.82,28.610001,28.75,3628600.0,0.39340343369163644,29.38667
-1.04,-3.672,27.280001,2021-01-27 00:00:00,29.15,26.67,28.32,5981900.0,-0.4110584294576935,27.7
-0.89,-3.235,26.620001,2021-01-28 00:00:00,28.299999,25.57,27.51,4239300.0,0.24447969203899414,26.83
-0.32,-1.145,27.620001,2021-01-29 00:00:00,29.299999,26.42,27.940001,5611100.0,-0.9193747006909763,27.78
-0.68,-2.427,27.34,2021-02-01 00:00:00,28.450001,27.0,28.02,2923400.0,0.3868708053691275,27.59667
1.1,3.963,28.860001,2021-02-02 00:00:00,29.34,27.610001,27.76,4768000.0,0.11195544877167496,28.60333
2.27,7.828,31.27,2021-02-03 00:00:00,31.9,29.0,29.0,5369100.0,0.7459905191745437,30.72333
1.54,4.112,38.990002,2021-02-04 00:00:00,39.490002,35.009998,37.450001,21137400.0,-0.25199312918320205,37.83
6.26,16.711,43.720001,2021-02-05 00:00:00,46.298,37.195,37.459999,16883000.0,-1.7180230218143766,42.40433
-1.2,-2.727,42.799999,2021-02-08 00:00:00,45.549999,40.619999,44.0,6211500.0,0.025616489929095813,42.99
0.88,2.152,41.779999,2021-02-09 00:00:00,42.34,39.540001,40.900002,6374800.0,-0.08391001989356095,41.22
-2.84,-6.611,40.119999,2021-02-10 00:00:00,43.77,38.169998,42.959999,5881300.0,0.15062894444203745,40.68667
-2.52,-6.3,37.48,2021-02-11 00:00:00,40.189999,36.599998,40.0,6924300.0,-0.7946970089679125,38.09
-1.4,-3.632,37.150002,2021-02-12 00:00:00,38.75,36.110001,38.549999,3858200.0,0.19642596796700892,37.33667
-0.32,-0.798,39.790001,2021-02-16 00:00:00,40.189999,38.66,40.110001,4801300.0,0.04392759712459428,39.54667
-0.48,-1.244,38.119999,2021-02-17 00:00:00,38.904999,36.450001,38.599998,5021900.0,0.044084895783763206,37.825
-0.49,-1.341,36.040001,2021-02-18 00:00:00,37.299999,34.66,36.529999,5253500.0,-0.42715492651653036,36.0
-1.12,-3.022,35.939999,2021-02-19 00:00:00,37.195,35.251999,37.060001,3681100.0,0.4708478279619354,36.129
-2.6,-7.452,32.290001,2021-02-22 00:00:00,35.970001,32.0,34.889999,6956600.0,0.10954380216066766,33.42
1.15,3.858,30.959999,2021-02-23 00:00:00,32.27,27.549999,29.809999,7812400.0,-1.0108620112738411,30.26
1.24,3.91,32.950001,2021-02-24 00:00:00,33.75,31.0,31.709999,3885100.0,0.3447956017269293,32.56667
-2.9,-8.775,30.15,2021-02-25 00:00:00,33.43,29.0,33.049999,5929600.0,-0.19944979367262725,30.86
0.31,0.99,31.610001,2021-02-26 00:00:00,32.66,29.85,31.299999,4943600.0,-0.1418672333348732,31.37333
0.31,0.914,34.220001,2021-03-01 00:00:00,35.240002,32.509998,33.91,4329400.0,-0.0044778543421266324,33.99
-1.05,-3.07,33.150002,2021-03-02 00:00:00,36.5,32.959999,34.200001,4310100.0,0.1386518515557865,34.20333
-2.56,-7.758,30.440001,2021-03-03 00:00:00,33.360001,29.57,33.0,5003900.0,0.7374948195634269,31.12333
-0.82,-2.813,28.33,2021-03-04 00:00:00,30.297001,25.791,29.15,19062100.0,-0.6739201067818787,28.13933
-1.72,-5.896,27.450001,2021-03-05 00:00:00,29.334999,24.110001,29.17,11387700.0,0.4015135987386677,26.965
-4.14,-14.481,24.450001,2021-03-08 00:00:00,28.799999,23.09,28.59,19027500.0,-0.4019053092259405,25.44667
0.25,0.996,25.360001,2021-03-09 00:00:00,26.16,24.57,25.110001,13572600.0,7.367730812587031e-06,25.36333
-1.8,-6.545,25.700001,2021-03-10 00:00:00,27.6,25.07,27.5,13572700.0,0.4000433191293739,26.12333
1.25,4.712,27.780001,2021-03-11 00:00:00,29.15,24.51,26.530001,22622800.0,-0.8546775211720242,27.14667
2.36,8.754,29.32,2021-03-12 00:00:00,29.49,26.559999,26.959999,12197700.0,-0.12182358297081788,28.45667
2.03,6.9,31.450001,2021-03-15 00:00:00,31.950001,29.02,29.42,10873100.0,0.0921834819490365,30.80667
-1.48,-4.601,30.690001,2021-03-16 00:00:00,32.869999,29.32,32.169998,11977200.0,0.5121939299154489,30.96
-0.6699999999999982,-0.022325891369543424,30.68,32.87,29.32,32.43,6736896,-164.73745325723283,30.68,2021-03-16 12:00:00
-0.6900000000000013,-0.02353342428376539,30.01,30.69,30.01,30.69,40648,0.9964253241616621,30.009999999999998,2021-03-16 16:00:00
2.37,8.778,29.370001,2021-03-17 00:00:00,29.620001,26.254999,27.0,24553200.0,-0.4938035007026958,28.415
0.28000000000000114,0.009459459459459498,29.32,29.62,26.26,26.37,11371101,-77.05211894073555,29.32,2021-03-17 12:00:00
-2.900000000000002,-0.10861423220973791,29.6,29.6,28.8,29.25,145686,0.9829892896954814,29.600000000000005,2021-03-17 16:00:00
-1.35,-4.804,26.75,2021-03-18 00:00:00,28.59,26.02,28.1,16436700.0,0.7503664002259911,27.12
-0.5,-0.019083969465648856,26.7,28.05,26.02,27.86,8564369,-23.741570923840037,26.7,2021-03-18 12:00:00
-0.4499999999999993,-0.01747572815533978,26.2,26.86,26.01,26.53,346153,0.9872606957244925,26.2,2021-03-18 16:00:00
1.73,7.208,25.73,2021-03-19 00:00:00,27.219999,23.65,24.0,65843300.0,-4.467622733010031,25.53333
0.1999999999999993,0.007707129094412304,25.75,27.22,24.0,24.29,27172049,-22.151728239485163,25.75,2021-03-19 12:00:00
-0.9399999999999977,-0.03758496601359447,25.95,26.11,25.6,25.68,1173651,0.7932742363359697,25.95,2021-03-19 16:00:00
-1.16,-4.479,24.74,2021-03-22 00:00:00,26.549999,24.74,25.9,12042400.0,0.11847036776762708,25.34333
0.00999999999999801,0.0003996802557952842,25.01,26.48,25.0,25.69,5677333,-21.830149149298084,25.01,2021-03-22 12:00:00
